MCES	Nonconformity	Ion Type
10.97	1.9383483886718693	[M+Na]+
9.87	5.236071777343739	[M+Na]+
9.87	-11.653430175781239	[M-H]-
10.98	-0.4014221191406193	[M+Na]+
10.055	1.7554107666015568	[M+H]+
9.05	3.3985778808593636	[M-H]-
10.12	-10.525326538085949	[M+Na]+
9.95	4.371539306640614	[M-H]-
10.5	-11.904516601562506	[M+H]+
10.5	-1.1333374023437557	[M+Na]+
9.23	-1.0234313964843693	[M-H]-
11.11	-21.4342041015625	[M+Na]+
10.336	-3.2708984374999943	[M-H]-
10.414	-7.316030883789068	[M+Na]+
10.414	-14.809130859374989	[M+H]+
10.414	-6.133618164062511	[M-H]-
11.414	-4.425042724609369	[M+H]+
11.414	-4.868893432617199	[M+Na]+
11.414	-6.112451171874994	[M-H]-
9.98	-8.038806152343739	[M+H]+
9.98	3.0243041992187614	[M+Na]+
9.98	-2.4232849121093807	[M+H]+
9.98	-8.674029541015614	[M-H]-
10.26	-1.382904052734375	[M+Na]+
11.49	-5.997827148437494	[M+H]+
11.49	-12.25182495117187	[M+Na]+
11.49	13.260818481445312	[M-H]-
9.78	2.999111938476574	[M+Na]+
9.78	-2.197662353515625	[M-H]-
10.42	-5.123791503906261	[M+Na]+
10.42	1.6640258789062443	[M-H]-
10.0	3.1647460937500114	[M+H]+
10.0	2.40374755859375	[M+Na]+
10.0	4.117486572265619	[M-H]-
10.4	-7.350567626953136	[M-H]-
9.086	-0.15692749023438068	[M-H]-
10.11	-2.5223144531250057	[M-H]-
10.65	-0.17132263183594887	[M+H]+
10.23	0.12804260253906818	[M-H]-
10.42	3.0959182739257756	[M-H]-
9.89	-0.18956298828123863	[M+H]+
9.89	-4.744244384765636	[M+Na]+
9.89	-4.495361328125	[M-H]-
10.49	-8.249987792968739	[M+H]+
10.49	-13.34783935546875	[M-H]-
10.75	-0.30524902343751137	[M+H]+
9.87	-5.416778564453125	[M+H]+
9.05	-1.1755584716796932	[M-H]-
9.98	-2.3976318359374886	[M+Na]+
9.98	1.935638427734375	[M+H]+
9.42	-0.9909545898437386	[M+H]+
8.914	-0.4667419433593807	[M+H]+
10.47	-3.7619750976562614	[M+H]+
10.47	-11.762786865234375	[M+Na]+
9.836	9.620881652832026	[M-H]-
10.5	-1.7554351806640511	[M+Na]+
10.0	-3.8457794189453125	[M+H]+
9.98	-1.4698242187500057	[M+H]+
