MCES	Nonconformity	Ion Type
9.26	-0.118681641	[M+Na]+
8.63	1.706723022	[M+Na]+
9.22	1.459118652	[M+Na]+
10.2	-6.8322229	[M-H]-
9.36	0.633632812	[M-H]-
9.76	-1.532160034	[M+H]+
9.95	-2.708414307	[M+H]+
9.87	-3.237370605	[M-H]-
9.445	-7.604448242	[M+H]+
9.586	-5.269942627	[M+H]+
6.793	0.324511108	[M+Na]+
9.86	2.224829102	[M+H]+
10.5	-1.670390625	[M+H]+
9.98	0.25354248	[M+Na]+
9.11	2.146375732	[M+Na]+
6.76	-1.188043823	[M-H]-
10.17	-1.78517334	[M+H]+
9.83	-0.064294434	[M+H]+
10.805	-3.768823242	[M+H]+
9.98	2.097055664	[M+H]+
9.95	-8.994359131	[M+H]+
9.914	-9.557780762	[M-H]-
9.7	-3.630604858	[M+H]+
9.98	1.002887573	[M+H]+
9.39	-1.252580566	[M+H]+
9.914	-2.674373779	[M+Na]+
10.25	2.52418396	[M+H]+
10.45	12.28122803	[M+H]+
9.02	20.46372681	[M+Na]+
9.98	-3.435510254	[M+Na]+
9.74	2.678642578	[M-H]-
10.15	-1.945507813	[M+Na]+
10.23	11.60704407	[M+Na]+
8.83	-1.994199829	[M+H]+
9.37	4.696206665	[M-H]-
9.06	0.860083008	[M-H]-
9.87	-9.156335449	[M-H]-
9.94	-7.57131958	[M+H]+
9.94	0.982738037	[M-H]-
9.58	-3.819990234	[M+Na]+
10	1.777384033	[M+H]+
10.47	0.234387817	[M+Na]+
9.92	0.602059326	[M-H]-
10.19	5.036668701	[M-H]-
10	6.443936768	[M+H]+
9.63	-0.478861084	[M-H]-
9.72	2.717529297	[M+H]+
9.55	-2.342485352	[M+Na]+
9.11	-2.016855469	[M+Na]+
8.15	1.92043457	[M+H]+
9.88	-0.696951294	[M+Na]+
9.914	-0.48376709	[M-H]-
9.05	-2.128657227	[M+H]+
9.555	-2.99024292	[M+H]+
10.28	6.604839478	[M+Na]+
10.44	-3.630042725	[M-H]-
10.2	-2.33975769	[M+H]+
9.97	0.072778931	[M-H]-
9.48	4.929746094	[M+H]+
9.99	9.582288818	[M-H]-
9.94	7.753699951	[M-H]-
9.48	5.115596924	[M-H]-
10.5	-3.936228027	[M+H]+
10.414	1.814986572	[M+Na]+
9.664	-2.602197266	[M+H]+
10.44	-6.176755981	[M-H]-
9.164	-1.925691528	[M-H]-
